domain,card,whop,altcoin,onramp,notes
# -- onramp-enabled (top performers - show "Card (Alt)" on checkout) --
floridapeptideslab.com,0,0,0,1,onramp + interac/zelle + crypto
torontopeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
saskatoonpeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
montrealpeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
calgarypeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
winnipegpeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
vancouverpeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
ottawapeptides.com,0,0,0,1,onramp + interac/zelle + crypto

peptidesdenver.com,0,0,0,1,onramp + interac/zelle + crypto
ajaxpeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
oakvillepeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
truropeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
philadelphiapeptides.com,0,0,0,1,onramp + interac/zelle + crypto
peptidesanjose.com,0,0,0,1,onramp + interac/zelle + crypto
burnabypeptides.ca,0,0,0,1,onramp + interac/zelle + crypto
peptidesaurora.com,0,0,0,1,onramp + interac/zelle + crypto
atlantapeps.com,0,0,0,1,onramp + interac/zelle + crypto
peptidesportland.com,0,0,0,1,onramp + interac/zelle + crypto
miamipeps.com,0,0,0,1,onramp + interac/zelle + crypto
columbuspeptides.com,0,0,0,1,onramp + interac/zelle + crypto
# -- interac/zelle + crypto only (no card, no onramp) --
lavalpeptides.ca,0,0,0,0,interac/zelle + crypto only
surreypeptides.com,0,0,0,0,interac/zelle + crypto only
edmontonpeptides.com,0,0,0,0,interac/zelle + crypto only
brandonpeptides.ca,0,0,0,0,interac/zelle + crypto only
steinbachpeptides.com,0,0,0,0,interac/zelle + crypto only
losangelespeptides.com,0,0,0,0,interac/zelle + crypto only
peptidesandiego.com,0,0,0,0,interac/zelle + crypto only
houstonpeps.com,0,0,0,0,interac/zelle + crypto only
peptidesdallas.com,0,0,0,0,interac/zelle + crypto only
rochesterpeptides.com,0,0,0,0,interac/zelle + crypto only
halifaxpeptides.ca,0,0,0,0,interac/zelle + crypto only
monctonpeptides.ca,0,0,0,0,interac/zelle + crypto only
frederictonpeptides.ca,0,0,0,0,interac/zelle + crypto only
summersidepeptides.ca,0,0,0,0,interac/zelle + crypto only
stratfordpeptides.ca,0,0,0,0,interac/zelle + crypto only
stjohnspeptides.ca,0,0,0,0,interac/zelle + crypto only
mountpearlpeptides.ca,0,0,0,0,interac/zelle + crypto only
clevelandpeptides.com,0,0,0,0,interac/zelle + crypto only
charlottepeptides.com,0,0,0,0,interac/zelle + crypto only
raleighpeptides.com,0,0,0,0,interac/zelle + crypto only
detroitpeptides.com,0,0,0,0,interac/zelle + crypto only
jacksonvillepeptide.com,0,0,0,0,interac/zelle + crypto only
sanantoniopeptides.com,0,0,0,0,interac/zelle + crypto only
buffalopeptides.com,0,0,0,0,interac/zelle + crypto only
greensboropeptides.com,0,0,0,0,interac/zelle + crypto only
princetonpeptides.com,0,0,0,0,interac/zelle + crypto only
warrenpeptides.com,0,0,0,0,interac/zelle + crypto only
grandrapidspeptides.com,0,0,0,0,interac/zelle + crypto only
peptideschicago.com,0,0,0,0,interac/zelle + crypto only
peptidesphoenix.co,0,0,0,0,interac/zelle + crypto only
sanfranciscopeptides.com,0,0,0,0,interac/zelle + crypto only
peptideseattle.com,0,0,0,0,interac/zelle + crypto only
peptidesboston.com,0,0,0,0,interac/zelle + crypto only
pittsburghpeptides.com,0,0,0,0,interac/zelle + crypto only
minneapolispeptides.com,0,0,0,0,interac/zelle + crypto only
peptidesnashville.com,0,0,0,0,interac/zelle + crypto only
oaklandpeptides.com,0,0,0,0,interac/zelle + crypto only
riversidepeptides.com,0,0,0,0,interac/zelle + crypto only
peptidesacramento.com,0,0,0,0,interac/zelle + crypto only
norfolkpeptides.com,0,0,0,0,interac/zelle + crypto only
birminghampeptides.com,0,0,0,0,interac/zelle + crypto only
richmondpeps.com,0,0,0,0,interac/zelle + crypto only
neworleanspeps.com,0,0,0,0,interac/zelle + crypto only
hamiltonpeptides.ca,0,0,0,0,interac/zelle + crypto only
burlingtonpeptides.ca,0,0,0,0,interac/zelle + crypto only
bramptonpeptides.ca,0,0,0,0,interac/zelle + crypto only
kitchenerpeps.com,0,0,0,0,interac/zelle + crypto only
windsorpeptides.ca,0,0,0,0,interac/zelle + crypto only
kingstonpeptides.ca,0,0,0,0,interac/zelle + crypto only
barriepeptides.ca,0,0,0,0,interac/zelle + crypto only
oshawapeptides.ca,0,0,0,0,interac/zelle + crypto only
whitbypeps.com,0,0,0,0,interac/zelle + crypto only
pickeringpeps.com,0,0,0,0,interac/zelle + crypto only
richmondhillpeptides.ca,0,0,0,0,interac/zelle + crypto only
mississaugapeps.ca,0,0,0,0,interac/zelle + crypto only
victoriapeps.ca,0,0,0,0,interac/zelle + crypto only
waterloopeps.ca,0,0,0,0,interac/zelle + crypto only
markhampeps.ca,0,0,0,0,interac/zelle + crypto only
vaughanpeps.ca,0,0,0,0,interac/zelle + crypto only
lethbridgepeps.com,0,0,0,0,interac/zelle + crypto only
guelphpeps.ca,0,0,0,0,interac/zelle + crypto only


# -- batch 2: interac/zelle + crypto only --
scarboroughpeptides.ca,0,0,0,0,interac/zelle + crypto only
northyorkpeptides.ca,0,0,0,0,interac/zelle + crypto only
etobicokepeptides.ca,0,0,0,0,interac/zelle + crypto only
eastyorkpeptides.ca,0,0,0,0,interac/zelle + crypto only
yorkpeptides.ca,0,0,0,0,interac/zelle + crypto only
miltonpeptides.ca,0,0,0,0,interac/zelle + crypto only
claringtonpeptides.ca,0,0,0,0,interac/zelle + crypto only
newmarketpeptides.ca,0,0,0,0,interac/zelle + crypto only
kingpeptides.ca,0,0,0,0,interac/zelle + crypto only
georginapeptides.ca,0,0,0,0,interac/zelle + crypto only
eastgwillimburypeptides.ca,0,0,0,0,interac/zelle + crypto only
caledonpeptides.ca,0,0,0,0,interac/zelle + crypto only
haltonhillspeptides.ca,0,0,0,0,interac/zelle + crypto only
orangevillepeptides.ca,0,0,0,0,interac/zelle + crypto only
thebeachespeptides.ca,0,0,0,0,interac/zelle + crypto only
libertyvillagepeptides.ca,0,0,0,0,interac/zelle + crypto only
leslievillepeptides.ca,0,0,0,0,interac/zelle + crypto only
parkdalepeptides.ca,0,0,0,0,interac/zelle + crypto only
roncesvallespeptides.ca,0,0,0,0,interac/zelle + crypto only
theannexpeptides.ca,0,0,0,0,interac/zelle + crypto only
danforthpeptides.ca,0,0,0,0,interac/zelle + crypto only
highparkpeptides.ca,0,0,0,0,interac/zelle + crypto only
mimicopeptides.ca,0,0,0,0,interac/zelle + crypto only
leasidepeptides.ca,0,0,0,0,interac/zelle + crypto only
donmillspeptides.ca,0,0,0,0,interac/zelle + crypto only
willowdalepeptides.ca,0,0,0,0,interac/zelle + crypto only
thornhillpeptides.ca,0,0,0,0,interac/zelle + crypto only
unionvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
woodbridgepeptides.ca,0,0,0,0,interac/zelle + crypto only
maplepeptides.ca,0,0,0,0,interac/zelle + crypto only
concordpeptides.ca,0,0,0,0,interac/zelle + crypto only
portcreditpeptides.ca,0,0,0,0,interac/zelle + crypto only
streetsvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
meadowvalepeptides.ca,0,0,0,0,interac/zelle + crypto only
erinmillspeptides.ca,0,0,0,0,interac/zelle + crypto only
clarksonpeptides.ca,0,0,0,0,interac/zelle + crypto only
cooksvillepeptides.com,0,0,0,0,interac/zelle + crypto only
maltonpeptides.ca,0,0,0,0,interac/zelle + crypto only
bramaleapeptides.ca,0,0,0,0,interac/zelle + crypto only
heartlakepeptides.ca,0,0,0,0,interac/zelle + crypto only
mountpleasantpeptides.ca,0,0,0,0,interac/zelle + crypto only
westmountpeptides.ca,0,0,0,0,interac/zelle + crypto only
montroyaltmrpeptides.ca,0,0,0,0,interac/zelle + crypto only
outremontpeptides.ca,0,0,0,0,interac/zelle + crypto only
notre-dame-de-lile-perrotpeptides.ca,0,0,0,0,interac/zelle + crypto only
cotesaintlucpeptides.ca,0,0,0,0,interac/zelle + crypto only
pincourtpeptides.ca,0,0,0,0,interac/zelle + crypto only
dorvalpeptides.ca,0,0,0,0,interac/zelle + crypto only
pointeclairepeptides.ca,0,0,0,0,interac/zelle + crypto only
kirklandpeptides.ca,0,0,0,0,interac/zelle + crypto only
beaconsfieldpeptides.ca,0,0,0,0,interac/zelle + crypto only
saint-lazarepeptides.ca,0,0,0,0,interac/zelle + crypto only
varennespeptides.ca,0,0,0,0,interac/zelle + crypto only
sainte-juliepeptides.ca,0,0,0,0,interac/zelle + crypto only
dollard-des-ormeauxpeptides.ca,0,0,0,0,interac/zelle + crypto only
stouffvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
longueuilpeptides.ca,0,0,0,0,interac/zelle + crypto only
brossardpeptides.ca,0,0,0,0,interac/zelle + crypto only
saint-lambertpeptides.ca,0,0,0,0,interac/zelle + crypto only
bouchervillepeptides.ca,0,0,0,0,interac/zelle + crypto only
saint-bruno-de-montarvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
sainthubertpeptides.ca,0,0,0,0,interac/zelle + crypto only
greenfieldparkpeptides.ca,0,0,0,0,interac/zelle + crypto only
chamblypeptides.ca,0,0,0,0,interac/zelle + crypto only
